Tournament/Split,League,Date,Game,Map,Team 1,Team 2,T1A1,T1A1P,T1A2,T1A2P,T1A3,T1A3P,T1A4,T1A4P,T1A5,T1A5P,T2A1,T2A1P,T2A2,T2A2P,T2A3,T2A3P,T2A4,T2A4P,T2A5,T2A5P,Winner,Loser
Champions Tour 2025: China Kickoff Quarters,China,"Jan 16, 2025",2,Lotus,BLG,XLG,Omen,rushia,Killjoy,Levius,viper,nephh,Fade,Knight,Raze,whzy,Omen,happywei,Cypher,Viva,Breach,YOU,Sova,coconut,Neon,Rarga,BLG,XLG
Champions Tour 2025: China Kickoff Quarters,China,"Jan 16, 2025",3,Abyss,BLG,XLG,Omen,nephh,Vyse,Levius,Harbor,rushia,Sova,Knight,Yoru,whzy,Omen,Viva,Cypher,happywei,KAY/O,YOU,Sova,coconut,Jett,Rarga,BLG,XLG
Champions Tour 2025: EMEA Kickoff Round 1,EMEA,"Jan 16, 2025",1,Fracture,TL,KOI,Brimstone,Keiko,Cypher,nAts,Breach,paTiTek,Gekko,kamo,Sage,kamyk,Brimstone,grubinho,Killjoy,flyuh,Vyse,soulcas,Tejo,sheydos,Yoru,Filu,KOI,TL
Champions Tour 2025: EMEA Kickoff Round 1,EMEA,"Jan 16, 2025",2,Abyss,TL,KOI,Omen,Keiko,Cypher,nAts,KAY/O,paTiTek,Sova,kamyk,Jett,kamo,Astra,grubinho,Cypher,soulcas,KAY/O,flyuh,Sova,sheydos,Jett,Filu,TL,KOI
Champions Tour 2025: EMEA Kickoff Round 1,EMEA,"Jan 16, 2025",3,Bind,TL,KOI,Brimstone,Keiko,Viper,nAts,Gekko,kamyk,Skye,paTiTek,Raze,kamo,Astra,grubinho,Viper,soulcas,KAY/O,flyuh,Tejo,sheydos,Raze,Filu,TL,KOI
Champions Tour 2025: EMEA Kickoff Round 1,EMEA,"Jan 16, 2025",1,Pearl,APK,M8,Astra,AvovA,Killjoy,hype,KAY/O,MOLSI,Fade,oderus,Jett,florescent,Astra,K4DAVRA,Killjoy,Minny,KAY/O,Zyppan,Sova,RobbieBk,Jett,Click,M8,APK
Champions Tour 2025: EMEA Kickoff Round 1,EMEA,"Jan 16, 2025",2,Haven,APK,M8,Omen,AvovA,Killjoy,hype,Breach,MOLSI,Sova,oderus,Jett,florescent,Omen,K4DAVRA,Cypher,Minny,Breach,Zyppan,Sova,RobbieBk,Neon,Click,M8,APK
Champions Tour 2025: Americas Kickoff Round 1,Americas,"Jan 16, 2025",1,Split,EG,LOUD,Omen,supamen,Viper,NaturE,Chamber,yay,Skye,Derrek,Raze,icy,Astra,pANcada,Cypher,tuyz,Breach,v1nny,Tejo,cauanzin,Raze,dgzin,LOUD,EG
Champions Tour 2025: Americas Kickoff Round 1,Americas,"Jan 16, 2025",2,Pearl,EG,LOUD,Astra,supamen,Vyse,NaturE,Jett,icy,Sova,Derrek,Phoenix,yay,Astra,pANcada,Cypher,tuyz,KAY/O,v1nny,Sova,cauanzin,Jett,dgzin,LOUD,EG
Champions Tour 2025: Americas Kickoff Round 1,Americas,"Jan 16, 2025",1,Lotus,MIBR,100T,Omen,xenom,Killjoy,cortezia,Breach,nzr,Tejo,artzin,Raze,aspas,Omen,zander,Clove,Cryo,Breach,Boostio,Fade,eeiu,Neon,Asuna,100T,MIBR
