Tournament/Split,League,Date,Game,Map,Team 1,Team 2,T1A1,T1A1P,T1A2,T1A2P,T1A3,T1A3P,T1A4,T1A4P,T1A5,T1A5P,T2A1,T2A1P,T2A2,T2A2P,T2A3,T2A3P,T2A4,T2A4P,T2A5,T2A5P,Winner,Loser
Masters Bangkok: Swiss Stage Round 1,International,"Feb 21, 2025",1,Lotus,G2,TE,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,Omen,LuoK1ng,Vyse,Kai,Viper,heybay,Fade,Biank,Raze,FengF,G2,TE
Masters Bangkok: Swiss Stage Round 1,International,"Feb 21, 2025",2,Abyss,G2,TE,Astra,valyn,Chamber,leaf,Breach,JonahP,Sova,trent,Yoru,jawgemo,Omen,FengF,Astra,LuoK1ng,KAY/O,heybay,Sova,Biank,Jett,Kai,G2,TE
Masters Bangkok: Swiss Stage Round 2 (1-0),International,"Feb 22, 2025",1,Bind,DRX,VIT,Brimstone,MaKo,Cypher,Flashback,Breach,BeYN,Tejo,freeing,Yoru,HYUNMIN,Brimstone,trexx,Viper,Less,Tejo,Sayf,Skye,Kicks,Raze,Derke,VIT,DRX
Masters Bangkok: Swiss Stage Round 2 (1-0),International,"Feb 22, 2025",2,Abyss,DRX,VIT,Omen,MaKo,Cypher,Flashback,Tejo,freeing,Sova,BeYN,Yoru,HYUNMIN,Astra,Less,Breach,Kicks,Tejo,Sayf,Sova,trexx,Jett,Derke,DRX,VIT
Masters Bangkok: Swiss Stage Round 2 (1-0),International,"Feb 22, 2025",3,Split,DRX,VIT,Omen,MaKo,Cypher,Flashback,Breach,BeYN,Tejo,freeing,Yoru,HYUNMIN,Omen,Sayf,Viper,Less,Breach,Kicks,Fade,trexx,Raze,Derke,VIT,DRX
Masters Bangkok: Swiss Stage Round 2 (1-0),International,"Feb 22, 2025",1,Pearl,EDG,G2,Astra,Smoggy,Vyse,CHICHOO,Tejo,nobody,Fade,S1Mon,Yoru,ZmjjKK,Astra,valyn,Vyse,JonahP,Chamber,leaf,Sova,trent,Yoru,jawgemo,G2,EDG
Masters Bangkok: Swiss Stage Round 2 (1-0),International,"Feb 22, 2025",2,Bind,EDG,G2,Brimstone,Smoggy,Vyse,CHICHOO,KAY/O,S1Mon,Tejo,nobody,Raze,ZmjjKK,Brimstone,valyn,Viper,leaf,Tejo,trent,Skye,JonahP,Raze,jawgemo,EDG,G2
Masters Bangkok: Swiss Stage Round 2 (1-0),International,"Feb 22, 2025",3,Fracture,EDG,G2,Brimstone,Smoggy,Cypher,CHICHOO,Tejo,nobody,Breach,S1Mon,Neon,ZmjjKK,Brimstone,valyn,Vyse,leaf,Tejo,trent,Breach,JonahP,Raze,jawgemo,EDG,G2
Masters Bangkok: Swiss Stage Round 2 (0-1),International,"Feb 23, 2025",1,Lotus,T1,TE,Omen,Sylvan,Cypher,iZu,Iso,Meteor,Sova,stax,Raze,BuZz,Omen,LuoK1ng,Vyse,Kai,Viper,heybay,Fade,Biank,Raze,FengF,T1,TE
Masters Bangkok: Swiss Stage Round 2 (0-1),International,"Feb 23, 2025",2,Haven,T1,TE,Omen,Sylvan,Cypher,iZu,Iso,Meteor,Sova,stax,Yoru,BuZz,Omen,LuoK1ng,Cypher,FengF,Breach,heybay,Sova,Biank,Jett,Kai,T1,TE
Masters Bangkok: Swiss Stage Round 2 (0-1),International,"Feb 23, 2025",1,Lotus,TL,SEN,Omen,Keiko,Cypher,nAts,Breach,paTiTek,Tejo,kamyk,Yoru,kamo,Omen,bang,Vyse,Zellsis,Viper,johnqt,Fade,N4RRATE,Raze,zekken,SEN,TL
Masters Bangkok: Swiss Stage Round 2 (0-1),International,"Feb 23, 2025",2,Abyss,TL,SEN,Omen,Keiko,Cypher,nAts,KAY/O,paTiTek,Sova,kamyk,Jett,kamo,Omen,N4RRATE,Astra,bang,KAY/O,Zellsis,Tejo,johnqt,Jett,zekken,TL,SEN
Masters Bangkok: Swiss Stage Round 2 (0-1),International,"Feb 23, 2025",3,Bind,TL,SEN,Brimstone,Keiko,Viper,nAts,Gekko,kamyk,Skye,paTiTek,Raze,kamo,Brimstone,Zellsis,Viper,bang,Tejo,johnqt,Skye,N4RRATE,Raze,zekken,TL,SEN
Masters Bangkok: Swiss Stage Round 3,International,"Feb 24, 2025",1,Fracture,T1,DRX,Brimstone,Sylvan,Vyse,Meteor,Tejo,iZu,Breach,stax,Raze,BuZz,Brimstone,MaKo,Cypher,Flashback,Tejo,freeing,Breach,BeYN,Yoru,HYUNMIN,T1,DRX
Masters Bangkok: Swiss Stage Round 3,International,"Feb 24, 2025",2,Pearl,T1,DRX,Astra,Sylvan,Killjoy,Meteor,Yoru,iZu,Sova,stax,Neon,BuZz,Astra,MaKo,Vyse,Flashback,Tejo,freeing,Fade,BeYN,Yoru,HYUNMIN,T1,DRX
Masters Bangkok: Swiss Stage Round 3,International,"Feb 24, 2025",1,Haven,G2,TL,Astra,valyn,Vyse,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,Omen,Keiko,Cypher,nAts,Breach,paTiTek,Tejo,kamyk,Jett,kamo,G2,TL
Masters Bangkok: Swiss Stage Round 3,International,"Feb 24, 2025",2,Lotus,G2,TL,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,Omen,Keiko,Cypher,nAts,Breach,paTiTek,Tejo,kamyk,Neon,kamo,G2,TL
Masters Bangkok: Upper Semifinals,International,"Feb 27, 2025",1,Split,EDG,T1,Omen,Smoggy,Viper,CHICHOO,Breach,S1Mon,Tejo,nobody,Jett,ZmjjKK,Omen,Sylvan,Viper,Meteor,Yoru,iZu,Fade,stax,Raze,BuZz,EDG,T1
Masters Bangkok: Upper Semifinals,International,"Feb 27, 2025",2,Bind,EDG,T1,Brimstone,Smoggy,Vyse,CHICHOO,KAY/O,S1Mon,Tejo,nobody,Raze,ZmjjKK,Brimstone,Sylvan,Vyse,Meteor,KAY/O,stax,Fade,iZu,Raze,BuZz,T1,EDG
Masters Bangkok: Upper Semifinals,International,"Feb 27, 2025",3,Pearl,EDG,T1,Astra,Smoggy,Vyse,CHICHOO,Tejo,nobody,Fade,S1Mon,Yoru,ZmjjKK,Brimstone,Sylvan,Killjoy,Meteor,Yoru,iZu,Sova,stax,Neon,BuZz,EDG,T1
Masters Bangkok: Upper Semifinals,International,"Feb 27, 2025",1,Bind,VIT,G2,Brimstone,trexx,Viper,Less,Tejo,Sayf,Skye,Kicks,Raze,Derke,Brimstone,valyn,Vyse,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,G2,VIT
Masters Bangkok: Upper Semifinals,International,"Feb 27, 2025",2,Lotus,VIT,G2,Omen,Kicks,Vyse,Sayf,Viper,Less,Fade,trexx,Raze,Derke,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,G2,VIT
Masters Bangkok: Upper Finals,International,"Feb 28, 2025",1,Lotus,EDG,G2,Omen,CHICHOO,Clove,Smoggy,Breach,S1Mon,Fade,nobody,Neon,ZmjjKK,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,G2,EDG
Masters Bangkok: Upper Finals,International,"Feb 28, 2025",2,Split,EDG,G2,Omen,Smoggy,Viper,CHICHOO,Breach,S1Mon,Tejo,nobody,Jett,ZmjjKK,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,G2,EDG
Masters Bangkok: Lower Round 1,International,"Feb 28, 2025",1,Lotus,T1,VIT,Omen,Sylvan,Cypher,iZu,Iso,Meteor,Sova,stax,Raze,BuZz,Omen,Kicks,Vyse,Sayf,Viper,Less,Fade,trexx,Raze,Derke,VIT,T1
Masters Bangkok: Lower Round 1,International,"Feb 28, 2025",2,Haven,T1,VIT,Omen,Sylvan,Cypher,iZu,Iso,Meteor,Sova,stax,Yoru,BuZz,Omen,Kicks,Cypher,Less,Jett,Sayf,Sova,trexx,Yoru,Derke,T1,VIT
Masters Bangkok: Lower Round 1,International,"Feb 28, 2025",3,Split,T1,VIT,Omen,Sylvan,Viper,Meteor,Yoru,iZu,Fade,stax,Raze,BuZz,Omen,Sayf,Viper,Less,Breach,Kicks,Fade,trexx,Raze,Derke,T1,VIT
Masters Bangkok: Lower Finals,International,"Mar 1, 2025",1,Bind,EDG,T1,Brimstone,Smoggy,Vyse,CHICHOO,KAY/O,S1Mon,Tejo,nobody,Raze,ZmjjKK,Brimstone,Sylvan,Vyse,Meteor,KAY/O,stax,Fade,iZu,Raze,BuZz,T1,EDG
Masters Bangkok: Lower Finals,International,"Mar 1, 2025",2,Haven,EDG,T1,Omen,Smoggy,Cypher,CHICHOO,Breach,S1Mon,Tejo,nobody,Jett,ZmjjKK,Omen,Sylvan,Cypher,iZu,Iso,Meteor,Sova,stax,Yoru,BuZz,T1,EDG
Masters Bangkok: Lower Finals,International,"Mar 1, 2025",3,Fracture,EDG,T1,Brimstone,Smoggy,Cypher,CHICHOO,Breach,S1Mon,Tejo,nobody,Neon,ZmjjKK,Brimstone,Sylvan,Vyse,Meteor,Breach,stax,Tejo,iZu,Raze,BuZz,EDG,T1
Masters Bangkok: Lower Finals,International,"Mar 1, 2025",4,Split,EDG,T1,Omen,Smoggy,Viper,CHICHOO,Breach,S1Mon,Tejo,nobody,Jett,ZmjjKK,Omen,Sylvan,Viper,Meteor,Yoru,iZu,Fade,stax,Raze,BuZz,T1,EDG
Masters Bangkok: Grand Finals,International,"Mar 2, 2025",1,Lotus,G2,T1,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,Omen,Sylvan,Cypher,iZu,Iso,Meteor,Sova,stax,Raze,BuZz,G2,T1
Masters Bangkok: Grand Finals,International,"Mar 2, 2025",2,Haven,G2,T1,Astra,valyn,Vyse,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,Omen,Sylvan,Cypher,iZu,Iso,Meteor,Sova,stax,Yoru,BuZz,T1,G2
Masters Bangkok: Grand Finals,International,"Mar 2, 2025",3,Abyss,G2,T1,Astra,valyn,Chamber,leaf,Breach,JonahP,Sova,trent,Yoru,jawgemo,Omen,Sylvan,Fade,iZu,Reyna,Meteor,Tejo,stax,Jett,BuZz,G2,T1
Masters Bangkok: Grand Finals,International,"Mar 2, 2025",4,Split,G2,T1,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,Omen,Sylvan,Viper,Meteor,Yoru,iZu,Fade,stax,Raze,BuZz,T1,G2
Masters Bangkok: Grand Finals,International,"Mar 2, 2025",5,Pearl,G2,T1,Astra,valyn,Vyse,JonahP,Chamber,leaf,Sova,trent,Yoru,jawgemo,Astra,Sylvan,Killjoy,Meteor,Yoru,iZu,Sova,stax,Neon,BuZz,T1,G2
VCT China Stage 1: Regular Season Week 1,China,"Mar 13, 2025",1,Pearl,XLG,BLG,Astra,happywei,Vyse,coconut,Tejo,Viva,Fade,YOU,Yoru,Rarga,Astra,rushia,Vyse,Levius,Tejo,Knight,KAY/O,nephh,Neon,whzy,XLG,BLG
VCT China Stage 1: Regular Season Week 1,China,"Mar 13, 2025",2,Icebox,XLG,BLG,Viper,happywei,Killjoy,YOU,Tejo,Viva,Gekko,coconut,Waylay,Rarga,Viper,nephh,Killjoy,Levius,Harbor,rushia,Sova,Knight,Jett,whzy,BLG,XLG
VCT China Stage 1: Regular Season Week 1,China,"Mar 13, 2025",3,Fracture,XLG,BLG,Brimstone,YOU,Vyse,happywei,Breach,coconut,Tejo,Viva,Waylay,Rarga,Brimstone,rushia,Cypher,Levius,Breach,nephh,Tejo,Knight,Neon,whzy,BLG,XLG
VCT China Stage 1: Regular Season Week 1,China,"Mar 14, 2025",1,Pearl,TE,AG,Astra,LuoK1ng,Killjoy,heybay,Neon,Kai,Tejo,Biank,Yoru,FengF,Astra,K1ra,Killjoy,deLb,Neon,HanChe,Sova,Lsn,Yoru,player,TE,AG
VCT China Stage 1: Regular Season Week 1,China,"Mar 14, 2025",2,Lotus,TE,AG,Omen,LuoK1ng,Viper,heybay,Breach,Biank,Tejo,FengF,Yoru,Kai,Omen,K1ra,Viper,deLb,Breach,player,Tejo,Lsn,Waylay,HanChe,AG,TE
VCT China Stage 1: Regular Season Week 1,China,"Mar 14, 2025",3,Split,TE,AG,Omen,LuoK1ng,Viper,heybay,Breach,Biank,Tejo,FengF,Yoru,Kai,Omen,K1ra,Cypher,deLb,Breach,player,Tejo,Lsn,Waylay,HanChe,TE,AG
VCT China Stage 1: Regular Season Week 1,China,"Mar 15, 2025",1,Fracture,DRG,NOVA,Brimstone,Flex1n,Cypher,vo0kashu,Breach,Nicc,Fade,Cangshu,Yoru,SpiritZ1,Brimstone,OBONE,Cypher,GuanG,Breach,o0o0o,Tejo,Ezeir,Neon,CB,DRG,NOVA
VCT China Stage 1: Regular Season Week 1,China,"Mar 15, 2025",2,Lotus,DRG,NOVA,Omen,Flex1n,Cypher,vo0kashu,Breach,Nicc,Tejo,Cangshu,Yoru,SpiritZ1,Astra,Ezeir,Vyse,OBONE,Deadlock,CB,Breach,o0o0o,Raze,GuanG,DRG,NOVA
VCT China Stage 1: Regular Season Week 1,China,"Mar 15, 2025",1,Fracture,TYL,EDG,Brimstone,waituu,Vyse,5CM,Breach,slowly,Tejo,hfmi0dzjc9z7,Waylay,Ninebody,Brimstone,Smoggy,Cypher,CHICHOO,Breach,S1Mon,Tejo,nobody,Waylay,ZmjjKK,EDG,TYL
VCT China Stage 1: Regular Season Week 1,China,"Mar 15, 2025",2,Haven,TYL,EDG,Omen,waituu,Cypher,Ninebody,Breach,slowly,Sova,hfmi0dzjc9z7,Neon,5CM,Omen,Smoggy,Cypher,CHICHOO,Breach,S1Mon,Sova,nobody,Jett,ZmjjKK,EDG,TYL
VCT China Stage 1: Regular Season Week 1,China,"Mar 16, 2025",1,Pearl,JDG,WOL,Astra,jkuro,Vyse,Z1yan,Tejo,Babyblue,Fade,MrCANI,Yoru,stew,Astra,Spring,Deadlock,Lysoar,Chamber,Yuicaw,Fade,SiuFatBB,Yoru,Juicy,WOL,JDG
VCT China Stage 1: Regular Season Week 1,China,"Mar 16, 2025",2,Haven,JDG,WOL,Omen,jkuro,Cypher,Z1yan,Iso,stew,Sova,MrCANI,Yoru,Babyblue,Omen,Spring,Cypher,Lysoar,Breach,Yuicaw,Tejo,SiuFatBB,Yoru,Juicy,WOL,JDG
VCT China Stage 1: Regular Season Week 1,China,"Mar 16, 2025",1,Icebox,FPX,TEC,Viper,yosemite,Vyse,Autumn,Tejo,Shr1mp,Gekko,AAAAY,Jett,Life,Viper,Haodong,Deadlock,Abo,Tejo,Rb,Gekko,Coco,Waylay,TvirusLuke,FPX,TEC
VCT China Stage 1: Regular Season Week 1,China,"Mar 16, 2025",2,Haven,FPX,TEC,Omen,AAAAY,Vyse,yosemite,Viper,Autumn,Tejo,Shr1mp,Neon,Life,Omen,Haodong,Vyse,Abo,Neon,Rb,Sova,Coco,Waylay,TvirusLuke,FPX,TEC
VCT China Stage 1: Regular Season Week 2,China,"Mar 20, 2025",1,Ascent,NOVA,EDG,Omen,Ezeir,Killjoy,GuanG,Breach,o0o0o,Tejo,CB,Yoru,OBONE,Omen,Smoggy,Vyse,CHICHOO,KAY/O,S1Mon,Sova,nobody,Jett,ZmjjKK,NOVA,EDG
VCT China Stage 1: Regular Season Week 2,China,"Mar 20, 2025",2,Fracture,NOVA,EDG,Brimstone,OBONE,Cypher,GuanG,Tejo,Ezeir,Breach,o0o0o,Neon,CB,Brimstone,Smoggy,Cypher,CHICHOO,Tejo,nobody,Breach,S1Mon,Waylay,ZmjjKK,NOVA,EDG
VCT China Stage 1: Regular Season Week 2,China,"Mar 21, 2025",1,Pearl,TYL,FPX,Astra,waituu,Vyse,5CM,Tejo,slowly,Fade,hfmi0dzjc9z7,Yoru,Ninebody,Astra,AAAAY,Cypher,Autumn,Viper,yosemite,Fade,Shr1mp,Yoru,Life,FPX,TYL
VCT China Stage 1: Regular Season Week 2,China,"Mar 21, 2025",2,Icebox,TYL,FPX,Viper,waituu,Killjoy,5CM,KAY/O,slowly,Gekko,hfmi0dzjc9z7,Waylay,Ninebody,Viper,yosemite,Vyse,Autumn,Tejo,Shr1mp,Gekko,AAAAY,Jett,Life,TYL,FPX
VCT China Stage 1: Regular Season Week 2,China,"Mar 21, 2025",3,Haven,TYL,FPX,Omen,waituu,Cypher,Ninebody,Breach,slowly,Sova,hfmi0dzjc9z7,Neon,5CM,Omen,AAAAY,Vyse,yosemite,Viper,Autumn,Tejo,Shr1mp,Neon,Life,FPX,TYL
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 21, 2025",1,Lotus,C9,NRG,Omen,v1c,Deadlock,neT,Breach,mitch,Tejo,Xeppaa,Raze,OXY,Omen,s0m,Vyse,FNS,Breach,Ethan,Tejo,brawk,Neon,mada,NRG,C9
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 21, 2025",2,Fracture,C9,NRG,Brimstone,v1c,Cypher,neT,Tejo,Xeppaa,Breach,mitch,Neon,OXY,Brimstone,s0m,Cypher,FNS,Tejo,brawk,Breach,Ethan,Raze,mada,C9,NRG
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 21, 2025",3,Pearl,C9,NRG,Astra,v1c,Cypher,neT,Yoru,Xeppaa,Sova,mitch,Jett,OXY,Astra,s0m,Killjoy,FNS,Yoru,Ethan,Sova,brawk,Neon,mada,C9,NRG
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 21, 2025",1,Fracture,KRU,LOUD,Brimstone,Melser,Vyse,Shyy,Tejo,adverso,Breach,Mazino,Raze,keznit,Brimstone,pANcada,Cypher,tuyz,Tejo,cauanzin,Breach,v1nny,Neon,dgzin,LOUD,KRU
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 21, 2025",2,Haven,KRU,LOUD,Omen,Melser,Cypher,Shyy,Breach,Mazino,Tejo,adverso,Yoru,keznit,Omen,pANcada,Cypher,tuyz,Bra,v1nny,Sova,cauanzin,Jett,dgzin,KRU,LOUD
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 21, 2025",3,Split,KRU,LOUD,Omen,Melser,Viper,Shyy,Breach,Mazino,Tejo,adverso,Jett,keznit,Astra,pANcada,Viper,tuyz,Breach,v1nny,Tejo,cauanzin,Raze,dgzin,KRU,LOUD
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 22, 2025",1,Lotus,DFM,GE,Omen,Art,Vyse,Jinboong,Viper,gyen,Fade,Akame,Raze,Meiy,Omen,Papi,Cypher,UdoTan,Breach,kellyS,Tejo,Kr1stal,Yoru,patrickWHO,GE,DFM
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 22, 2025",2,Pearl,DFM,GE,Astra,geyn,Vyse,Jinboong,Chamber,Akame,Sova,Art,Yoru,Meiy,Astra,Papi,Killjoy,UdoTan,Vyse,kellyS,Sova,Kr1stal,Jett,patrickWHO,GE,DFM
VCT China Stage 1: Regular Season Week 2,China,"Mar 22, 2025",1,Fracture,XLG,AG,Brimstone,YOU,Cypher,happywei,Tejo,Viva,Breach,coconut,Neon,Rarga,Brimstone,K1ra,Cypher,deLb,Tejo,Lsn,Breach,player,Neon,HanChe,XLG,AG
VCT China Stage 1: Regular Season Week 2,China,"Mar 22, 2025",2,Lotus,XLG,AG,Omen,happywei,Vyse,YOU,Breach,coconut,Tejo,Viva,Yoru,Rarga,Omen,K1ra,Viper,deLb,Breach,player,Tejo,Lsn,Waylay,HanChe,XLG,AG
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 22, 2025",1,Fracture,T1,ZETA,Brimstone,Sylvan,Vyse,Meteor,Tejo,iZu,Breach,stax,Neon,BuZz,Brimstone,SugarZ3ro,Vyse,SyouTa,Tejo,CLZ,Breach,Xdll,Raze,Dep,T1,ZETA
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 22, 2025",2,Split,T1,ZETA,Omen,Sylvan,Viper,Meteor,Yoru,iZu,Fade,stax,Raze,BuZz,Omen,SugarZ3ro,Viper,SyouTa,Breach,Xdll,Tejo,CLZ,Yoru,Dep,ZETA,T1
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 22, 2025",3,Haven,T1,ZETA,Omen,Sylvan,Cypher,iZu,Iso,Meteor,Sova,stax,Yoru,BuZz,Omen,SugarZ3ro,Cypehr,SyouTa,Breach,Xdll,Tejo,CLZ,Yoru,Dep,T1,ZETA
VCT China Stage 1: Regular Season Week 2,China,"Mar 22, 2025",1,Fracture,WOL,TE,Brimstone,Spring,Killjoy,Lysoar,Tejo,SiuFatBB,Breach,Yuicaw,Raze,Juicy,Brimstone,LuoK1ng,Vyse,heybay,Tejo,FengF,Breach,Biank,Yoru,Kai,WOL,TE
VCT China Stage 1: Regular Season Week 2,China,"Mar 22, 2025",2,Pearl,WOL,TE,Astra,Spring,Deadlock,Lysoar,Chamber,Yuicaw,Tejo,SiuFatBB,Yoru,Juicy,Astra,LuoK1ng,Killjoy,heybay,Yoru,FengF,Tejo,Biank,Neon,Kai,WOL,TE
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 22, 2025",1,Lotus,G2,FUR,Omen,valyn,Viper,leaf,Breach,JonahP,Tejo,trent,Yoru,jawgemo,Omen,Khalil,Clove,heat,Breach,raafa,Fade,pryze,Neon,havoc,G2,FUR
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 22, 2025",2,Ascent,G2,FUR,Omen,valyn,Vyse,leaf,KAY/O,JonahP,Tejo,trent,Waylay,jawgemo,Omen,Khalil,Vyse,heat,KAY/O,raafa,Sova,pryze,Yoru,havoc,G2,FUR
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 22, 2025",1,Split,MIBR,LEV,Astra,xenom,Cypher,cortezia,Breach,artzin,Tejo,Verno,Jett,aspas,Omen,Demon1,Viper,tex,Breach,Rossy,Tejo,C0M,Yoru,kiNgg,MIBR,LEV
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 22, 2025",2,Icebox,MIBR,LEV,Viper,xenom,Killjoy,cortezia,Harbor,artzin,Sova,Verno,Jett,aspas,Viper,Demon1,Killjoy,tex,Tejo,Rossy,Sova,C0M,Yoru,kiNgg,MIBR,LEV
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 23, 2025",1,Haven,DRX,PRX,Omen,MaKo,Cypher,freeing,Neon,Flashback,Sova,BeYN,Jett,HYUNMIN,Omen,Jinggg,Cypher,mindfreak,Breach,something,Tejo,d4v41,Yoru,f0rsakeN,DRX,PRX
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 23, 2025",2,Icebox,DRX,PRX,Viper,MaKo,Killjoy,Flashback,Omen,BeYN,Tejo,freeing,Jett,HYUNMIN,Viper,mindfreak,KAY/O,d4v41,Tejo,Jinggg,Sova,something,Waylay,f0rsakeN,PRX,DRX
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 23, 2025",3,Lotus,DRX,PRX,Omen,MaKo,Cypher,freeing,Yoru,Flashback,Fade,BeYN,Raze,HYUNMIN,Omen,Jinggg,Viper,mindfreak,Breach,something,Tejo,d4v41,Waylay,f0rsakeN,DRX,PRX
VCT China Stage 1: Regular Season Week 2,China,"Mar 23, 2025",1,Lotus,TEC,DRG,Omen,Haodong,Deadlock,Abo,Breach,Coco,Fade,Rb,Raze,TvirusLuke,Omen,Flex1n,Cypher,vo0kashu,Breach,Nicc,Tejo,Cangshu,Yoru,SpiritZ1,DRG,TEC
VCT China Stage 1: Regular Season Week 2,China,"Mar 23, 2025",2,Fracture,TEC,DRG,Brimstone,Haodong,Cypher,Abo,Tejo,Rb,Breach,Coco,Raze,TvirusLuke,Brimstone,Flex1n,Cypher,vo0kashu,Fade,Cangshu,Breach,Nicc,Yoru,SpiritZ1,TEC,DRG
VCT China Stage 1: Regular Season Week 2,China,"Mar 23, 2025",3,Icebox,TEC,DRG,Viper,Haodong,Deadlock,Abo,Gekko,Coco,Tejo,Rb,Jett,TvirusLuke,Viper,vo0kashu,Killjoy,Cangshu,Omen,Flex1n,KAY/O,Nicc,Jett,SpiritZ1,TEC,DRG
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 23, 2025",1,Pearl,TLN,TS,Astra,thyy,Vyse,JitBoyS,Tejo,Crws,Fade,Killua,Yoru,primmie,Astra,2ge,Vyse,invy,Chamber,Wild0reoo,Sova,JessieVash,Yoru,Jremy,TS,TLN
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 23, 2025",2,Fracture,TLN,TS,Brimstone,thyy,Cypher,JitBoyS,Tejo,Crws,Breach,Killua,Waylay,primmie,Brimstone,2ge,Cypher,invy,Tejo,JessieVash,Breach,Wild0reoo,Neon,Jremy,TLN,TS
VCT Pacific Stage 1: Group Stage Week 1,Pacific,"Mar 23, 2025",3,Haven,TLN,TS,Omen,thyy,Cypher,JitBoyS,Iso,primmie,Sova,Crws,Yoru,Killua,Astra,2ge,Cypher,invy,Breach,Wild0reoo,Tejo,JessieVash,Neon,Jremy,TLN,TS
VCT China Stage 1: Regular Season Week 2,China,"Mar 23, 2025",1,Pearl,BLG,JDG,Astra,rushia,Vyse,Levius,KAY/O,nephh,Tejo,Knight,Neon,whzy,Astra,jkuro,Vyse,Z1yan,Tejo,Babyblue,Fade,MrCANI,Yoru,stew,BLG,JDG
VCT China Stage 1: Regular Season Week 2,China,"Mar 23, 2025",2,Icebox,BLG,JDG,Viper,nephh,Killjoy,Levius,Harbor,rushia,Sova,Knight,Jett,whzy,Viper,jkuro,Vyse,Z1yan,Gekko,MrCANI,Tejo,Babyblue,Waylay,stew,JDG,BLG
VCT China Stage 1: Regular Season Week 2,China,"Mar 23, 2025",3,Fracture,BLG,JDG,Brimstone,rushia,Cypher,Levius,Tejo,Knight,Breach,nephh,Neon,whzy,Brimstone,jkruo,Vyse,Z1yan,Tejo,Babyblue,Breach,MrCANI,Raze,stew,BLG,JDG
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 23, 2025",1,Haven,2G,EG,Omen,lz,Cypher,gobera,Iso,silentzz,Sova,Zap,Yoru,Askia,Omen,supamen,Cypher,yay,Breach,NaturE,Sova,Derrek,Waylay,icy,EG,2G
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 23, 2025",2,Lotus,2G,EG,Omen,lz,Cypher,gobera,Iso,silentzz,Sova,Zap,Raze,Askia,Clove,yay,Viper,supamen,Tejo,Derrek,Fade,NaturE,Raze,icy,EG,2G
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 23, 2025",1,Pearl,SEN,100T,Astra,bang,Vyse,Zellsis,Tejo,johnqt,Fade,N4RRATE,Yoru,zekken,Astra,zander,Vyse,Boostio,Yoru,Cryo,Fade,eeiu,Neon,Asuna,SEN,100T
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 23, 2025",2,Haven,SEN,100T,Omen,bang,Cypher,Zellsis,Iso,N4RRATE,Sova,johnqt,Yoru,zekken,Omen,zander,Cypher,Boostio,Iso,Cryo,Sova,eeiu,Neon,Asuna,100T,SEN
VCT Americas Stage 1: Group Stage Week 1,Americas,"Mar 23, 2025",3,Split,SEN,100T,Omen,bang,Viper,Zellsis,Breach,N4RRATE,Tejo,johnqt,Yoru,zekken,Astra,zander,Sage,Cryo,Breach,Boostio,Tejo,eeiu,Raze,Asuna,SEN,100T
